Scenario,Fitness,Time (ms),Best Generation,Seed,p,pe,pm,rhoe,K,MAX_GENS,X_INTVL,X_NUMBER
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,35,1,2015675687,44,0.8463,0.0165,0.4553,1,1293,160,5
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,72,1,2015675687,53,0.3643,0.3021,0.4543,3,299,212,4
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,103,1,2015675687,66,0.5846,0.4002,0.2089,1,1506,156,3
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,214,1,2015675687,65,0.2739,0.1647,0.1166,4,488,243,2
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,127,1,2015675687,35,0.2661,0.2813,0.9548,1,2124,102,3
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,586,1,2015675687,75,0.2795,0.1871,0.5476,3,1505,228,3
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,122,1,2015675687,91,0.7965,0.0587,0.3484,1,1831,288,5
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,21,1,2015675687,32,0.7565,0.1051,0.1154,1,815,282,3
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,207,1,2015675687,31,0.4627,0.1445,0.5679,2,2518,171,2
C:/TunningBRKGA/Instances/scenario_I9U50O85SnoneDchebyshevUDrandomR0.csv,1,474,1,176025806,30,0.2,0.3,0.5,3,3000,100,2
C:/TunningBRKGA/Instances/scenario_I9U50O85SnoneDchebyshevUDrandomR0.csv,1,149,1,176025806,21,0.4453,0.2971,0.1607,2,2761,298,3
C:/TunningBRKGA/Instances/scenario_I9U50O85SnoneDchebyshevUDrandomR0.csv,1,56,1,176025806,34,0.4343,0.5069,0.2973,1,1333,65,2
C:/TunningBRKGA/Instances/scenario_I9U50O85SnoneDchebyshevUDrandomR0.csv,1,93,1,176025806,56,0.7607,0.0705,0.26,1,2224,113,3
C:/TunningBRKGA/Instances/scenario_I9U50O85SnoneDchebyshevUDrandomR0.csv,1,28,1,176025806,51,0.1035,0.2099,0.95,1,279,34,4
C:/TunningBRKGA/Instances/scenario_I9U50O85SnoneDchebyshevUDrandomR0.csv,1,1729,1,176025806,86,0.2171,0.0062,0.2316,4,2705,194,4
C:/TunningBRKGA/Instances/scenario_I9U50O85SnoneDchebyshevUDrandomR0.csv,1,23,1,176025806,70,0.7126,0.1852,0.1016,2,194,119,2
C:/TunningBRKGA/Instances/scenario_I9U50O85SnoneDchebyshevUDrandomR0.csv,1,465,1,176025806,90,0.395,0.353,0.1137,2,1851,140,3
